tweet,label
"""gak ngurus physical distancing jenenge cangkruk yo rame-rame berkumpul satu meja, seng penting nggawe masker, corona gak wani nyidek wong seng maskeran"" -ini adalah opini mayoritas masyarakat indonesia, sekian terimagaji.",0
"Pengamat: Penumpang Angkutan Umum Sulit Untuk Melaksanakan Physical Distancing
 https://www.egindo.co/harga-minyak-sawit-mentah-di-provinsi-jambi-turun-rp332-per-kilogram/ …",0
yailah lengket bgt kayak perangko woy itu sekat physical distancing apa gunanya anjerrrrr  pic.twitter.com/3CdrE1izG7,0
Eiy bentar min physical distancing weh ga boleh rapat rapat 😭😭😭😭😭,1
Kebijakan pembatasan sosial berskala besar (PSBB) merupakan upaya memperkuat penerapan pembatasan fisik atau physical distancing demi mencegah penyebaran SARS-COV2.  pic.twitter.com/AYVeiYpGIK,1
Mie Ayam Tumini ga kenal physical distancing 😭😷  pic.twitter.com/Y9vAMOPXP2,0
"PLNers, yuk tetap jaga jarak fisik atau physical distancing minimal 2 meter di manapun kita berada untuk mengurangi penularan dan penyebaran COVID-19.
Ayo #JagaJarakFisik untuk kebaikan…  https://www.instagram.com/p/CE0yYUvHyb3/?igshid=6igby7kydg9 …",1
"Percayalah, physical distancing atau dirumah saja atau penerapan jam malam (8 A.M to 5 P.M, pulang kerja langsung pulang) menurut saya akan lebih efektif dibanding campaign janji-janji hebat penggunaan protokol kesehatan.  https://twitter.com/kumparan/status/1302846691968610304 …",-1
"jangan, physical distancing fiya",1
"malam2 cafe penuh pengunjung. razia+bubarin+rapid test

pagi2 kantor instansi penuh pengunjung, antrian tempat duduk disilang buat physical distancing tapi yang berdiri desak2an. ""yang penting sudah menjalankan protokol kesehatan""👌
🤣👀👀",0
Baru aja mau physical distancing. tiba-tiba wifi di rumah mati,1
Terapkan physical distancing,1
Hanya Atta Halilintar Yang Sanggup Bayar Menteri Buat jelasin Physical Distancing  https://twitter.com/IndonesiaGaruda/status/1302807092135305217 …,-1
Bertengkar ketika physical distancing....be like  https://twitter.com/Doingshits/status/1297007664212262912 …,1
tentara pilem mulan pun patuh physical distancing  https://twitter.com/suppitweets/status/1302653333941837825 …,1
"Dengan menerapkan physical distancing ketika beraktivitas di luar ruangan atau tempat umum, Anda sudah melakukan satu langkah mencegah terinfeksi virus Corona. Jaga jarak yuk.. #Covid19 #LawanCorona #KotaSolo",1
"08.00 dapet pengumuman kalau besok ada foto bersama wajib (padahal masih coronces, moal we physical distancing teh euy)

08.02 ngabarin ebe
08.03 cek pesawat
08.05 ganti baju
08.10 beresin baju
08.30 ready
08.40 otw
09.10 sampe gambir
09.15 otw CGK naik taxi 😭😭😭",0
"Budayakan hidup bersih personel Polsek kuaro melaks. Kurve bersama, serta menerapkan protokol kesehatan untuk mencegah penularan Covid-19.
#bersamalawancovid19
#rajincucitanganpakaisabun
#pakaimasker
#physicaldistancing
#menujuadaptasikebiasaanbaru
#patuhiprotokolkesehatan pic.twitter.com/FEbAU4LY1Q",1
waw Atta gangerti Physical Distancing ya sampe dijelaska  pak menteri hahah. eh eh kok gaet Atta dah? Tau gak sih klo Atta target audiencenya hmm yaa anak anak.  https://twitter.com/IndonesiaGaruda/status/1302807092135305217 …,0
Klo di Garuda mmg sdh diterapkan physical distancing tapi maskapai lainnya sptnya belum waktu didalam pesawat,0
"Pas banget nih kalau kamu mau short getaway di weekend ini. Tau ga kenapa? Soalnya White Horse lagi ngadain promo 40% yang berlaku selama weekend di bulan September.

Semua armada White Horse juga menerapkan sistem physical distancing.

Jadi, ada rencana mau jalan2 kemana? 😁  pic.twitter.com/VkX7gJqNrD",1
Ada satu orang di kantor itu ga tau kenapa dia sebel banget sama aku. Aku sudah berusaha physical distancing & social distancing sama dia biar aku ga menyakiti dia.,1
*mengirim pelukan jarak jauh soalnya lagi physical distancing*,1
"Electrizen, yuk tetap jaga jarak fisik atau physical distancing di manapun kita berada. Physical distancing adalah menjaga jarak fisik minimal 2 meter untuk mengurangi penularan dan penyebaran COVID-19.  pic.twitter.com/YeTQk6E3ZB",1
"Physical distancing adalah menjaga jarak fisik minimal 2 meter untuk mengurangi penularan dan penyebaran COVID-19.
Ayo #JagaJarakFisik untuk kebaikan bersama!
#AdaptasiKebiasaanBaruPLN #COVIDSafeBUMN #PLNRangers #PowerBeyondGenerations",1
"Electrizen, yuk tetap jaga jarak fisik atau physical distancing di manapun kita 
 #AdaptasiKebiasaanBaruPLN #COVIDSafeBUMN #PLNRangers #PowerBeyondGenerations pic.twitter.com/0oyriLrNci",1
lagi sibuk physical distancing kayanya 😅😅😅😅,1
"Physical distancing, kak 😂😂😂",1
Iyaa Hina kudo aku jg suka bgt😭. Gila sampe pusing aku whattt di drama ini kek physical distancing tatapan doang bisa membunuh😭😭😭,-1
"Gini masih pada berani ngumpul2 tanpa physical distancing? Bisa ga sih tu yg pd suka ngumpul2 kl kena covid biar mrk aja yg kena gausa nular2 in ke yg lain. Kesian yg udah pd hati2 bgt, keluar cm pas perlu doang eh malah ikutan kena.  https://twitter.com/cheedips/status/1302606041226440704 …",0
"perlu g perlu laah jam malam mah...kl mau mah aparat & pemkotnya TEGAS aja kl liat kerumunan diatas 3 ORANG/yg tdk memberlakukan physical distancing baik siang/malam hari,apalg d DU kl bisa mah pedagang tdk menyediakan tempat ddk jd pesan & dibawa pulang makanan/minumannya..",1
"Polsek Salapian pada hari Minggu tanggal 06 September 2020, pukul 14.15 WIB melaksanakan kegiatan Himbauan Penggunaan masker, mengatur jarak pisik ( Physical Distancing ) dan menyediakan sarana cuci tangan kepada pelaku usaha yang berjualan di lokasi wisata Pantai Biru  pic.twitter.com/3MACdATuPB",1
"physical distancing ini, udah sesuai dengan protokol wkkwkwkk  https://twitter.com/suppitweets/status/1302653333941837825 …",1
"Setelah menyapa penumpang, @BudiKaryaS menjelaskan kepada @AttaHalilintar mengenai keamanan & kenyamanan berpergian dengan pesawat. Salah satunya Physical Distancing pada saat menunggu penerbangan. @AngkasaPura_2 @kemenhub151 #YukTerbangLagi #BecauseYouMatter #GALiveReport pic.twitter.com/5xIZuRBAYu",1
"Physical distancing. Dengan tidak memeluknya adalah caraku menjaga dan mengusahakan apa yg terbaik untuknya. 

*terlaluserius *hwhwwhwhwhwhwhwhwhwhwh",1
"Ayo Pakai Masker, Mencuci Tangan Dan Jaga Jarak Cegah Penyebaran Covid-19.

#stopcovid19
#Polricegahviruscorona
#polisipeduli
#bersamacegahcovid19
#AdaptasiKebiasaanBaru
#GunakanMaskerTertibDiJalan
#PhysicalDistancing  pic.twitter.com/HiT4a4rxKK",1
Pengen nyalamin satu satu bilang terima kasih tapi sedang physical distancing,1
"Rasanya kurang adil sih kalau cuma nyinyir kegiatan hang out kalau sendirinya melakukan aktifitas tanpa physical distancing, cuma beda jenis kegiatan dan tempat aja resikonya mah sama. 🙂",0
"Ayo Jangan Lupa Memakai Masker, Mencuci Tangan, Menjaga Jarak untuk Memutus Mata Rantai Covid - 19.

#stopcovid19
#Polricegahviruscorona
#polisipeduli
#bersamacegahcovid19
#AdaptasiKebiasaanBaru
#GunakanMaskerTertibDiJalan
#PhysicalDistancing  pic.twitter.com/oiDDUwAwEs",1
Lah pasukannya malah physical distancing 😂,1
"Halo, Sahabat!
Di tengah pandemi seperti saat ini, jangan lupa untuk selalu memakai masker, menjaga kebersihan dan kesehatan serta melakukan jaga jarak fisik (physical distancing) yaa~

#BPJSKesehatanRI
#BPJSKesMelayaniNegeri
#KataBijak pic.twitter.com/hmcbpdYwfL",1
"#PolriAjakTatananHidupBaru mengimbau kepada masyarakat saat beraktivitas di ruang publik  agar tetap menerapkan protokol kesehatan dan menjaga kebersihan untuk cegah virus corona, salah satunya menerapkan physical distancing, menggunakan masker, mengurangi kontak fisik  pic.twitter.com/PcKDqCYDPO",1
"Kalo sama air bisa disebut physical distancing juga gak sihh😭

I vote BTS (@BTS_twt ) as this year's 2020 #ArtistoftheSummer @965TDY",-1
............. berasa persami physical distancing kali ya  https://twitter.com/suppitweets/status/1302653333941837825 …,-1
"i see, physical distancing dalam kelas pisang ni 🤣🤣",1
"Dikira tidak ada yg lebih parah dari surabaya, ternyata Sumbar jauh lebih parah, bahkan tidak sampai 50% terlihat masyarakat menggunakan masker, tidak ada physical distancing, pantas sumbar mendapat kasus terbaru terbanyak beberapa hari ini , gini mau ngarep pandemi berakhir ?",0
"Ramai tak yang suka join run events? Mesti sedih sebab sekarang tak ada big run events/marathon sebab kena patuhi physical distancing, kan? Jangan bersedih lagi, kita masih boleh berlari sendiri-sendiri. Jomlah join virtual run ni.  https://www.ticket2u.com.my/event/20016 ",1
O lg physical distancing  https://twitter.com/suppitweets/status/1302653333941837825 …,1
"Giat apel Pagi Personil Polsek Seputih Banyak di pimpin oleh Kasium Aipda Deddy Kurniawan.Senin,07 September  2020. tetap Physical Distancing dan Social Distancing/ jaga jarak.  https://www.instagram.com/p/CE0RmLopYiv/?igshid=obq0bgo9mb7x …",1
"2. Physical distancing adalah menjaga jarak fisik minimal 2 meter untuk mengurangi penularan dan penyebaran COVID-19.
#AdaptasiKebiasaanBaruPLN #COVIDSafeBUMN #PLNRangers #PowerBeyondGenerations",1
"1. Electrizen, yuk tetap jaga jarak fisik atau physical distancing di manapun kita berada. 
 #AdaptasiKebiasaanBaruPLN #COVIDSafeBUMN #PLNRangers #PowerBeyondGenerations pic.twitter.com/AB91I5LJu4",1
"Jadilah Alasan bagi seseorang tersenyum hari ini.

Budayakan 3M untuk putus mata rantai penularan:
1. Memakai Masker
2. Mencuci tangan pakai sabun
3. Menjaga jarak saat bersosial

#semangatpagi
#newnormal
#physicaldistancing
#TemukanKarir
#pejuangkarir
#berkarir
#teamwork pic.twitter.com/STcJ1Jl7Zd",1
"Update data perkembangan Corona Virus Disease 2019 (Covid-19) di Kabupaten Tana Tidung.

Minggu, 06 September 2020
.
*Sumber: Dinkes Tana Tidung
.
#updatedataviruscorona #LAWANCOVID19 #DiRumahAja #PhysicalDistancing #WajibPakaiMasker #tanatidung #bersamalawancorona pic.twitter.com/p22Fr9StJa",-1
"Bisa dibayangkan kalau ada 59 teman ogah berteman dengan kita dengan alasan Physical Distancing dan Social Distancing. Lagi resesi gini, kemana kita mau pinjem duit?  https://twitter.com/tempodotco/status/1302487666093510656 …",-1
"hayuk gaes, bantu kurangi penyebaran virus Covid-19, dengan selalu terapkan physical distancing dan pakai masker saat berpergian keluar 😉
#PowerBeyondGenerations #JagaJarakFisik pic.twitter.com/KKRYRzYaHe",1
"Hallo pak @ganjarpranowo . Kami masyarakat klaten sgt resah akhir"" ini. Kasus semakin naik. Protokol kesehatan hny jadi ""ALASAN"" untuk kepentingan"" lain. Dari foto ini. Tidak semua pakai masker, tdk ada physical distancing, tidak ada tetap #dirumahsaja . Kita harus nurut siapa?! pic.twitter.com/cn047v2Sit",0
Orang introver makin secure dgn adanya physical distancing,-1
kereta ke jkt kota udah gak ada physical distancing. 😵,0
"Baik Min...

Saya paham petugas menjalankan sesuai prosedur selama pandemic ini. Tapi kan realita dilapangan kadang gak sejalan kaya hubungan :( 

Physical Distancing di peron tapi gak physical distancing di dalam kereta ya sama aja boong kan. Selamat bertugas ya min 👌😄  pic.twitter.com/abUhB1XRtj",0
"#RekanCommuters, mari tetap cegah penyebaran virus corona dengan tetap menerapkan physical distancing/jaga jarak antar sesama di stasiun dan di dalam KRL.

#CovidSafeBUMN
#BUMNUntukIndonesia
#physicaldistancing  pic.twitter.com/6SBXNdLYSC",1
Selamat pagi. Mohon maaf atas ketidaknyamanannya. Dapat kami sampaikan utk menjaga physical distancing di area gate dan peron serta mencegah kepadatan di dalam KRL petugas kami melakukan pembatasan penumpang di Stasiun sebagai upaya mendukung Physical Distancing di dalam KRL.,1
"Sebagai upaya utk mencegah penyebaran Covid-19, kami imbau tetap melakukan Physical Distancing di area peron maupun di dalam KRL, apabila kereta sudah tampak mulai padat, #RekanCommuters sebaiknya mempertimbangkan untuk naik kereta selanjutnya.

#CovidSafeBUMN
#BUMNUntukIndonesia pic.twitter.com/FkLBeXEBLZ",1
"Supaya ngga keluyuran, ngumpul-ngumpul, jalanan dijagain mahkluk jadi-jadian 😅
#beritalama #physicaldistancing #jagajarak
#Repost the.independent
• • • • • •
Sukoharjo

Boo 👻

A village in Indonesia has resorted…  https://www.instagram.com/p/CE0HiawnXFE/?igshid=c50e3ouu1kp8 …",1
"Dah bingung caranya physical distancing, kondisi penuh, terutama dr Rangkas Maja Parung",0
"#RekanCommuters Kami imbau tetap melakukan Physical Distancing di area peron maupun di dalam KRL, demi memutus rantai penyebaran Covid 19 & sempatkan cuci tangan sebelum dan sesudah naik KRL.

#CovidSafeBUMN
#BUMNUntukIndonesia pic.twitter.com/UtTI5kQ7rD",1
Physical distancing hanya sebuah slogan yang tidak berbobot sama sekali.,0
"Iya mik wkwk
Emang kita sudah tau di masa depan akan ada physical distancing wkwk",-1
Kspk Aiptu Pramudyo bersama anggota jaga Polsek Karangrejo Patroli dikawasan  Physical Distancing di Ds Gebyog  pic.twitter.com/uIEEK5EjVX,1
"Mon maap, lagi coronces ya authornim, mohon tidak membuat undangan keramaian. 
Harus physical distancing, harus jaga diri. Apalagi jaga hati. 

TERUS APA APAAN MAS SENJA KONDANGAN GINI??????? MERUSAK MOMENT BAKAL SEPIRING BERDUANYA JAETAR????!!!!!!  https://twitter.com/booyaayaaa/status/1302668413827833857 …",0
"Alhamdulillah...
Ditempatku jg gak ada tapi Jamaah tetep pakai protokol dan physical distancing...
Santun subuh  pejuang..😊
Baarakallahufiik",1
"#RekanCommuters Kami imbau tetap melakukan Physical Distancing di area peron maupun di dalam KRL, demi memutus rantai penyebaran Covid 19 & sempatkan cuci tangan sebelum dan sesudah naik KRL.

#CovidSafeBUMN
#BUMNUntukIndonesia pic.twitter.com/zzkMqtwt61",1
#RekanCommuters Pantauan saat ini di St. Depok pkl. 04.20  WIB flow penumpang terpantau lancar. Kami imbau untuk senantiasa mengikuti arahan petugas di lapangan & mematuhi marka Physical Distancing yang tersedia serta mengatur kembali waktu perjalanan.  pic.twitter.com/5MGffMqvxO,1
#RekanCommuters Pantauan saat ini di St. Citayam pkl. 04.19 WIB flow penumpang terpantau lancar. Kami imbau untuk senantiasa mengikuti arahan petugas di lapangan & mematuhi marka Physical Distancing yang tersedia serta mengatur kembali waktu perjalanan.  pic.twitter.com/QGVK8y0KmM,1
#RekanCommuters Pantauan saat ini di St. Bojong Gede pkl. 04.17 WIB flow penumpang terpantau lancar. Kami imbau untuk senantiasa mengikuti arahan petugas di lapangan & mematuhi marka Physical Distancing yang tersedia serta mengatur kembali waktu perjalanan.  pic.twitter.com/upCVBszQH1,1
#RekanCommuters Pantauan saat ini di St. Cilebut pkl. 04.16 WIB flow penumpang terpantau lancar. Kami imbau untuk senantiasa mengikuti arahan petugas di lapangan & mematuhi marka Physical Distancing yang tersedia serta mengatur kembali waktu perjalanan.  pic.twitter.com/HNE2zsoqiP,1
Saya sih udh nonton,-1
Kaya lo ngga pernah buat dosa aja!! Sok suci!!,-1
"Lebih suka adu domba sesama bangsa. Telusuri, adili pembuat hoax! @DivHumas_Polri @TurnBackHoax @CCICPolri",-1
"Coba itung, brp bnyk hadirin di video ini yg pake masker dan physical distancing? Indonesia akan kalah, kalah total. Thanks to covidiot2 hardcore",0
YaAllah kenapa semua deadline tida physical distancing,-1
trawas mojokerto ga sih pek wkwk btw kenapa kalian posenya kek lagi physical distancing:'))),-1
Tin bagi duit,-1
"Di masa physical distancing gini harusnya ga cuman ngatur urusan kerja di ruangan.

Tapi, urusan kerja di ranjang juga.",-1
"Yang gue pikirin dr videonya n.s. di tktk
Heh punten itu kok GA PAKE PHYSICAL DISTANCING YA:')
sedih jujur itu orang2 nya banyak kek gitu:(",0
"Bagus sih burger king mengadakan promo ayam seribu rupiah, jadi semua bisa membeli. Tapi kalau konter antrian kasir hanya dibuka satu, dan satu lagi hanya untuk pemesanan online. Antrian jadi lama dan physical distancing tidak terlaksana. BK Panam Pekanbaru jam 7 @BurgerKing_ID pic.twitter.com/344RoE8qOF",0
Ih coba gaada physical distancing,0
Pergi wedding memang segala SOP semua tak applicable ehh? No mask no physical distancing?,0
tos jauh soalnya hrs physical distancing  pic.twitter.com/oq6aHb3DR9,1
Pegang jangan...kan physical distancing😁,1
"Pemprov DKI yg acaranya dihadiri banyak org tanpa physical distancing: 

 https://twitter.com/CNNIDdaily/status/1301033362153324545?s=19 … pic.twitter.com/qPa7ECRm1s",0
Percuma gabisa nyender kan physical distancing👀,1
"Update data perkembangan Corona Virus Disease 2019 (Covid-19) di Kabupaten Tana Tidung.

Jumat, 04 September 2020

#KTTzerocovid19

*Sumber: Dinkes Tana Tidung

#updatedataviruscorona #LAWANCOVID19 #DiRumahAja #PhysicalDistancing #WajibPakaiMasker #tanatidung #bersamalawancorona pic.twitter.com/8czXAQXnce",-1
Untung gajadi pergi nikahan. Rame banget ternyata dan pada gak pake masker. Gak physical distancing juga. Padahal Bandung zona merah loh :(,0
sdang physical distancing,1
"Potential kluster lori tong air.

Org letih nak collect air sampai physical distancing pun tak hirau.

Letih. Negeri paling maju, tang benda paling basic pun bermasalah.",0
"[#5 KUKERTA DARING 2020]

Malam teman-teman🙌
Kali ini saya akan berbagi mengenai Social Distancing dan Physical Distancing.

Follow me on :
Ig : @dinadm29
YouTube : Dina Madinah

#KUKERTADaringUINBanten2020 #KUKERTAModerasiBeragamaPertama #KUKERTAAmanProduktifMasaCovid-19 pic.twitter.com/zUlJPOQ3oq",-1
MASA SI AY???? kamu jarang lewat apa aku??? sini deketan tapi jangan deket2 physical distancing,1
"Biasanya dapet dari kampus, kak. 

Kalo wisuda online di kampusku, yg terbaik bisa offline untuk mengurangi jumlah wisudawan yg berkumpul. Physical distancing juga.. Yg biasa aja tetep pake toga di rumahnya di dampingi ortu.",1
Ohiya /menangkupkan kedua tangan di depan dada juga/ sekalian physical distancing🙏,1
lah udh berani zumba salsa?aku msh tkut physical distancing,1
"Kusuka LIDA malam ini ketika ngenalin kontestan sambil nyanyiin lagu daerah asal masing-masing, serta menyingkir dari stereotype. Sayangnya personil live band sama penontonnya kurang physical distancing. Selain itu... lesti lagi lesti lagi, haft...",0
"Hampir semua kegiatan sekarang dikerjakan dari rumah demi menjaga physical distancing.
Mulai dari kerja, sekolah, maupun olahraga.
Rumah tentu menjadi aset yang paling berharga dan esensial di masa sekarang ini.
Temukan jawaban yang kamu cari di  http://ipex.btnproperti.co.id  pic.twitter.com/V34lEzKmpj",1
"eh gabole
physical distancing",1
"Polsek Watukumpul Polres Pemalang terus galakkan kampanye wajib pakai masker

Kami juga selalu ingatkan warga untuk tidak berkerumun dan menerapkan Physical Distancing (Jaga jarak) untuk menghindari penyebaran…  https://www.instagram.com/p/CEy8Z1wpamL/?igshid=b5uqxv5kdjte …",1
harus physical distancing tapi kak 😔,1
"/masuk ke dalam venue sama uchan/ jarak satu meter ya duduknya, physical distancing brou @bbyungch wkwkwk",1
"Cocok buat yang hobi ngopi sendirian, malah physical distancing lebih terjaga😁",1
"hadeh, gue di kosan aja pake masker even ngobrol sama tetangga atau yg jaga kosan, bahkan ambil paket/Go-Food aja jugaan dipake masker.

ini nongkrong, ramean semua, ngga ada physical distancing, asep ngebul di mana mana, dan tanpa masker pula, salut sama mentalnya 😅",0
"Sedang mengurangi buka ig dan gak mau liat ig stories temen2 yg main kesana kesini gak pake masker or physical distancing. Maaf bukan gimana2, lg gak mau bikin penyakit hati aja💜 stay safe&healthy everyone💜",0
"[DAY 6]
KUKERTA-DR 2020
.
Assalamu'alaikum wr.wb.
Physical Distancing atau sering disebut sebagai Social Distancing merupakan istilah yang sama-sama bertujuan untuk mencegah penyebaran covid-19. Tidak hanya di…  https://www.instagram.com/p/CEy4eyLlEIF/?igshid=1tu1kt27nv0bl …",-1
"Walaupun banyak yg abai soal covid ini tp ttp bertahan ya mentemen. Mask on, stay safe, and physical distancing is a must. Semoga kita sllu dilindungi..",1
"Gaboleh berkumpul malah konvoi.
Pakai masker cuma di cantolin dibawah dagu.
Jaga jarak physical distancing malah rapet banget deklarasinya.",0
"Selamat malam, Terima kasih atas informasinya, akan kami lakukan pengecekan dan penertiban. Mohon kerjasamanya untuk saling mengingatkan Physical Distancing dan mengikuti marka yg telah tersedia di dalam KRL demi mencegah penularan Covid-19. Tks",1
Tau yak. Mana duduknya ga nerapin physical distancing tuuu dengkul pada beradu wkwk,0
Pernah gak si lagi physical distancing fikiran dengan perasaan wkwkwkw,-1
"Lg dpt kekesalan memuncak 1000%, sesimple liat org2 nongkrong haha hihi gak pake masker bahkan gak physical distancing aja udah...🤯 yaAllah sabar din. Rasanya pen turun dari mobil trus siram air, but ain’t no body got time for that.",0
"Bayangin lo udah coba buat kurangin kegiatan di luar rumah, udah coba physical distancing kalo keluar, masker on dan cuci tangan selalu..

Lalu di seberang daerah lain ada yang begini:  https://twitter.com/Irwan2yah/status/1302521691512348673 …",0
food fest sekarang physical distancing yaa... tapi berasa sepi beud 😅  pic.twitter.com/OwIu48hObv,1
Nder physical distancing ya jgn deket2 😂😂,1
"Pemeriksaan fisik ikan pada masa physical distancing Covid 19 di Tempat Pemeriksaan Fisik Karantina Ikan Banjarmasin oleh Petugas BKIPM Tujuan Jakarta dan Batam
#OneHealthKIPM. @HumasBKIPM @rinajanwar2201 @sokhib1968 @kkpgoid @ITJEN_KKP @riza_priyatna @WSSUMITRO @tgh_samudro pic.twitter.com/Y9ohtD1D5Z",-1
physical distancing doy jangan deket deket dulu,1
"Masyarakat diharapkan untuk tetap #dirumahaja. Jaga kesehatan badan dan lingkungan, cuci tangan dengan sabun, gunakan hand sanitizer, pakai lah masker jika sedang berada diluar rumah & tetap lakukan physical distancing.

#klatencegahcorona
#humasklaten
#humasjateng
#lawancorona",1
"KA 2087
Rangkas - Tanah Abang
memang di tempat duduk tidak ada marka Physical Distancing, tapi Perempuan itu duduk aja dan gamau pindah @CommuterLine 
posisi kereta baru berangkata Rangkas dan tidak ada Petugas sama Sekali di Gerbong nomor 8 pic.twitter.com/OfannfThHf",0
"Jenuh gue di rumah mulu, orang-orang pada maen keluar, ga ngehargain gue yg fokus physical distancing. Shitmen. :(",0
"Tru, jadi sila physical distancing kalo berada di sekitar saya.",1
"Kalaupun sekarang ada konser, kurang seru aja kalo penontonnya harus physical distancing.",0
"baris 1-15 seiingat ku kmrn hyung.
jadi waktu check-in ditanyain, mau baris mana? baris depan ada physical distancing , yang baris belakang nggak ada.",0
"Jangan remehkan niat anda
Niat itu awal dari semua action dan do’a yang jadi kenyataan
Ikuti langkah langkahnya jam 18.00wib nanti yaa
#viral #viralvideos #trending #kece #hits #newnormal #physicaldistancing #haji #umroh #ibadah #virus #corona #ngedepjtv #satuspersenjatim #jtv pic.twitter.com/B7sYFJcXBw",-1
"PATROLI SATGAS COVID-19.

Memberikan himbauan kepada masyarakat agar tetap mempedomani Protokol Kesehatan dan tetap Physical Distancing.

#74ThPolriBerbakti
#brimob_untuk_indonesia pic.twitter.com/16jRxHkUgJ",1
cerobongnya physical distancing🙇🏻,-1
Wah kya physical distancing h media wale Sharm kar le thoda,-1
